SPECIES_ORIGINAL,SPECIES_CLEAN,especie_alvo,ANO,n
Coptodon rendalli,coptodon rendalli,Coptodon rendalli,1998,1
Coptodon rendalli,coptodon rendalli,Coptodon rendalli,2001,1
Coptodon rendalli,coptodon rendalli,Coptodon rendalli,2002,1
Coptodon rendalli,coptodon rendalli,Coptodon rendalli,2005,2
Coptodon rendalli,coptodon rendalli,Coptodon rendalli,2014,1
Coptodon rendalli,coptodon rendalli,Coptodon rendalli,2016,1
Coptodon rendalli,coptodon rendalli,Coptodon rendalli,2017,2
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2002,1
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2004,2
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2005,4
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2008,2
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2009,1
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2010,2
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2013,1
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2014,11
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2015,4
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2016,16
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2017,13
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2018,16
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2019,11
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2021,8
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2022,1
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2023,2
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2024,7
Oreochromis niloticus,oreochromis niloticus,Oreochromis niloticus,2025,7
